Episode,Avg_Reward,Epsilon,Original_Reward,Shaped_Reward
255,426.65,0.1000,515.00,426.65
256,253.65,0.1000,335.00,253.65
257,143.60,0.1000,180.00,143.60
258,109.20,0.1000,170.00,109.20
259,119.65,0.1000,190.00,119.65
260,170.70,0.1000,225.00,170.70
261,164.40,0.1000,210.00,164.40
262,210.65,0.1000,255.00,210.65
263,339.90,0.1000,420.00,339.90
264,441.95,0.1000,535.00,441.95
265,168.90,0.1000,210.00,168.90
266,293.45,0.1000,375.00,293.45
267,672.05,0.1000,825.00,672.05
268,405.90,0.1000,500.00,405.90
269,160.85,0.1000,200.00,160.85
270,166.20,0.1000,230.00,166.20
271,161.30,0.1000,210.00,161.30
272,219.30,0.1000,285.00,219.30
273,79.60,0.1000,130.00,79.60
274,125.85,0.1000,170.00,125.85
275,90.65,0.1000,120.00,90.65
276,214.65,0.1000,265.00,214.65
277,488.70,0.1000,575.00,488.70
278,272.50,0.1000,355.00,272.50
279,157.10,0.1000,210.00,157.10
280,103.90,0.1000,140.00,103.90
281,209.15,0.1000,285.00,209.15
282,232.85,0.1000,305.00,232.85
283,122.35,0.1000,160.00,122.35
284,175.25,0.1000,230.00,175.25
285,44.95,0.1000,75.00,44.95
286,103.15,0.1000,135.00,103.15
287,179.25,0.1000,255.00,179.25
288,71.25,0.1000,105.00,71.25
289,80.85,0.1000,115.00,80.85
290,146.55,0.1000,185.00,146.55
295,123.75,0.1000,190.00,123.75
296,88.50,0.1000,135.00,88.50
297,109.95,0.1000,185.00,109.95
298,233.45,0.1000,310.00,233.45
299,278.80,0.1000,405.00,278.80
300,435.45,0.1000,505.00,435.45
301,23.60,0.1000,55.00,23.60
302,299.95,0.1000,375.00,299.95
303,77.55,0.1000,105.00,77.55
304,77.60,0.1000,105.00,77.60
305,123.05,0.1000,210.00,123.05
306,290.40,0.1000,385.00,290.40
307,128.40,0.1000,160.00,128.40
308,362.30,0.1000,435.00,362.30
309,146.10,0.1000,195.00,146.10
310,223.10,0.1000,285.00,223.10
311,233.40,0.1000,290.00,233.40
312,80.55,0.1000,105.00,80.55
313,208.90,0.1000,300.00,208.90
314,159.80,0.1000,210.00,159.80
315,49.25,0.1000,80.00,49.25
316,99.80,0.1000,140.00,99.80
317,107.25,0.1000,140.00,107.25
318,57.25,0.1000,85.00,57.25
319,252.05,0.1000,295.00,252.05
320,393.45,0.1000,480.00,393.45
321,497.85,0.1000,575.00,497.85
322,135.85,0.1000,175.00,135.85
323,89.05,0.1000,120.00,89.05
324,317.55,0.1000,405.00,317.55
325,193.70,0.1000,240.00,193.70
326,103.15,0.1000,170.00,103.15
327,109.55,0.1000,155.00,109.55
328,178.80,0.1000,215.00,178.80
329,93.35,0.1000,150.00,93.35
330,244.05,0.1000,315.00,244.05
331,329.65,0.1000,430.00,329.65
332,248.15,0.1000,305.00,248.15
333,182.40,0.1000,235.00,182.40
334,284.25,0.1000,360.00,284.25
335,96.05,0.1000,135.00,96.05
336,64.40,0.1000,105.00,64.40
337,244.25,0.1000,320.00,244.25
338,116.85,0.1000,160.00,116.85
339,113.75,0.1000,185.00,113.75
340,219.10,0.1000,260.00,219.10
341,83.15,0.1000,105.00,83.15
342,341.15,0.1000,405.00,341.15
343,135.80,0.1000,185.00,135.80
344,173.75,0.1000,240.00,173.75
345,219.15,0.1000,275.00,219.15
346,47.95,0.1000,80.00,47.95
347,167.45,0.1000,210.00,167.45
348,565.25,0.1000,660.00,565.25
349,112.20,0.1000,165.00,112.20
350,298.75,0.1000,375.00,298.75
351,256.80,0.1000,320.00,256.80
352,227.45,0.1000,290.00,227.45
353,155.70,0.1000,195.00,155.70
354,186.95,0.1000,255.00,186.95
355,389.00,0.1000,465.00,389.00
356,149.55,0.1000,180.00,149.55
357,147.65,0.1000,180.00,147.65
358,273.40,0.1000,315.00,273.40
359,142.65,0.1000,185.00,142.65
360,78.25,0.1000,120.00,78.25
361,83.65,0.1000,120.00,83.65
362,158.65,0.1000,230.00,158.65
363,112.30,0.1000,160.00,112.30
364,76.40,0.1000,110.00,76.40
365,83.70,0.1000,125.00,83.70
366,150.70,0.1000,190.00,150.70
367,272.35,0.1000,330.00,272.35
368,372.85,0.1000,435.00,372.85
369,99.65,0.1000,185.00,99.65
370,126.35,0.1000,185.00,126.35
371,69.75,0.1000,105.00,69.75
372,313.55,0.1000,375.00,313.55
373,361.40,0.1000,475.00,361.40
374,308.35,0.1000,390.00,308.35
375,171.85,0.1000,260.00,171.85
376,273.60,0.1000,330.00,273.60
377,185.50,0.1000,225.00,185.50
378,223.90,0.1000,300.00,223.90
379,497.90,0.1000,560.00,497.90
380,189.85,0.1000,235.00,189.85
381,316.65,0.1000,380.00,316.65
382,50.95,0.1000,110.00,50.95
383,164.40,0.1000,205.00,164.40
384,240.60,0.1000,300.00,240.60
385,186.35,0.1000,230.00,186.35
386,99.75,0.1000,135.00,99.75
387,93.65,0.1000,120.00,93.65
388,167.50,0.1000,220.00,167.50
389,233.15,0.1000,305.00,233.15
390,63.25,0.1000,105.00,63.25
391,100.85,0.1000,135.00,100.85
392,401.80,0.1000,490.00,401.80
393,156.90,0.1000,230.00,156.90
394,235.05,0.1000,275.00,235.05
395,134.00,0.1000,190.00,134.00
396,428.15,0.1000,490.00,428.15
397,228.95,0.1000,305.00,228.95
398,60.55,0.1000,90.00,60.55
399,199.45,0.1000,245.00,199.45
400,425.40,0.1000,470.00,425.40
401,105.65,0.1000,135.00,105.65
402,246.55,0.1000,315.00,246.55
403,150.75,0.1000,185.00,150.75
404,339.65,0.1000,410.00,339.65
405,97.15,0.1000,140.00,97.15
406,303.80,0.1000,360.00,303.80
407,175.75,0.1000,235.00,175.75
408,357.95,0.1000,440.00,357.95
409,347.70,0.1000,420.00,347.70
410,345.95,0.1000,410.00,345.95
411,192.90,0.1000,250.00,192.90
412,97.85,0.1000,135.00,97.85
413,358.95,0.1000,445.00,358.95
414,193.80,0.1000,235.00,193.80
415,151.65,0.1000,185.00,151.65
416,257.30,0.1000,315.00,257.30
417,306.15,0.1000,360.00,306.15
418,254.50,0.1000,315.00,254.50
419,179.05,0.1000,215.00,179.05
420,432.85,0.1000,520.00,432.85
421,200.80,0.1000,265.00,200.80
422,188.70,0.1000,230.00,188.70
423,627.65,0.1000,715.00,627.65
424,491.65,0.1000,580.00,491.65
425,113.65,0.1000,165.00,113.65
426,81.35,0.1000,115.00,81.35
427,196.55,0.1000,270.00,196.55
428,243.75,0.1000,315.00,243.75
429,293.30,0.1000,345.00,293.30
430,474.15,0.1000,530.00,474.15
431,560.95,0.1000,625.00,560.95
432,204.85,0.1000,250.00,204.85
433,201.50,0.1000,255.00,201.50
434,200.35,0.1000,250.00,200.35
435,518.25,0.1000,615.00,518.25
436,164.85,0.1000,215.00,164.85
437,138.45,0.1000,180.00,138.45
438,646.25,0.1000,740.00,646.25
439,165.45,0.1000,225.00,165.45
440,601.10,0.1000,715.00,601.10
441,414.45,0.1000,490.00,414.45
442,47.90,0.1000,80.00,47.90
443,257.35,0.1000,310.00,257.35
444,182.60,0.1000,220.00,182.60
445,253.80,0.1000,305.00,253.80
446,389.35,0.1000,475.00,389.35
447,412.95,0.1000,480.00,412.95
448,256.40,0.1000,340.00,256.40
449,81.15,0.1000,110.00,81.15
450,245.05,0.1000,300.00,245.05
451,430.75,0.1000,480.00,430.75
452,95.35,0.1000,140.00,95.35
453,220.05,0.1000,265.00,220.05
454,302.75,0.1000,365.00,302.75
455,613.30,0.1000,725.00,613.30
456,106.65,0.1000,140.00,106.65
457,164.50,0.1000,210.00,164.50
458,450.40,0.1000,520.00,450.40
459,107.30,0.1000,150.00,107.30
460,224.85,0.1000,275.00,224.85
461,407.65,0.1000,490.00,407.65
462,103.35,0.1000,130.00,103.35
463,186.40,0.1000,255.00,186.40
464,119.55,0.1000,165.00,119.55
