Episode,Avg_Reward,Epsilon,Original_Reward,Shaped_Reward
199,150.60,0.8515,180.00,150.60,102072
200,101.85,0.8501,125.00,101.85,102466
201,26.57,0.8487,50.00,26.57,102874
202,91.40,0.8473,110.00,91.40,103200
203,179.15,0.8458,225.00,179.15,104002
204,28.40,0.8444,45.00,28.40,104289
205,200.68,0.8430,240.00,200.68,104976
206,89.09,0.8416,120.00,89.09,105504
207,157.95,0.8402,195.00,157.95,106142
208,179.60,0.8388,210.00,179.60,106670
209,14.47,0.8374,40.00,14.47,107118
210,95.25,0.8359,120.00,95.25,107543
211,17.55,0.8345,35.00,17.55,107845
212,108.55,0.8331,135.00,108.55,108298
213,48.50,0.8317,75.00,48.50,108762
214,177.28,0.8303,210.00,177.28,109332
215,362.25,0.8289,400.00,362.25,110003
216,83.14,0.8275,110.00,83.14,110464
217,328.50,0.8260,370.00,328.50,111197
218,124.05,0.8246,155.00,124.05,111734
219,38.20,0.8232,60.00,38.20,112116
220,62.91,0.8218,80.00,62.91,112406
221,231.53,0.8204,265.00,231.53,112988
222,7.75,0.8190,30.00,7.75,113376
223,259.36,0.8176,300.00,259.36,114077
224,53.43,0.8161,80.00,53.43,114544
225,189.00,0.8147,230.00,189.00,115252
226,59.85,0.8133,85.00,59.85,115683
227,276.61,0.8119,315.00,276.61,116359
228,145.69,0.8105,185.00,145.69,117053
229,295.41,0.8091,330.00,295.41,117658
230,155.95,0.8077,185.00,155.95,118149
231,154.30,0.8062,185.00,154.30,118692
232,179.40,0.8048,215.00,179.40,119307
233,177.06,0.8034,210.00,177.06,119879
234,87.80,0.8020,120.00,87.80,120441
235,64.73,0.8006,80.00,64.73,120711
236,176.85,0.7992,210.00,176.85,121285
237,221.40,0.7978,260.00,221.40,121976
238,28.15,0.7963,45.00,28.15,122276
239,324.50,0.7949,375.00,324.50,123154
240,32.73,0.7935,50.00,32.73,123459
241,136.40,0.7921,170.00,136.40,124050
242,70.40,0.7907,95.00,70.40,124485
243,127.53,0.7893,160.00,127.53,125061
244,89.12,0.7879,110.00,89.12,125430
245,89.41,0.7864,120.00,89.41,125967
246,149.08,0.7850,190.00,149.08,126681
247,55.40,0.7836,75.00,55.40,127022
248,105.40,0.7822,125.00,105.40,127371
249,40.57,0.7808,65.00,40.57,127791
250,136.25,0.7794,170.00,136.25,128364
251,108.20,0.7780,135.00,108.20,128831
252,105.81,0.7765,135.00,105.81,129344
253,117.96,0.7751,160.00,117.96,130083
254,233.57,0.7737,280.00,233.57,130888
255,136.91,0.7723,165.00,136.91,131387
256,115.93,0.7709,145.00,115.93,131893
257,180.77,0.7695,210.00,180.77,132416
258,238.15,0.7681,285.00,238.15,133241
259,79.11,0.7666,105.00,79.11,133705
260,149.30,0.7652,180.00,149.30,134244
261,91.83,0.7638,125.00,91.83,134828
262,153.26,0.7624,180.00,153.26,135305
263,84.10,0.7610,110.00,84.10,135761
264,71.60,0.7596,90.00,71.60,136077
265,111.05,0.7582,135.00,111.05,136493
